PESEL,First Name,Last Name,Power Consumption (kWh),House Size (m2),Lokalizacja
64120249392,Agnieszka,Sikora,3373.19,99,Małopolskie
75090760042,Jan,Wiśniewski,4026.84,140,Warmińsko-Mazurskie
91032127603,Anna,Nowak,2672.3,124,Lubelskie
70120773087,Agnieszka,Dąbrowski,4834.55,278,Warmińsko-Mazurskie
85010236977,Jan,Kamiński,2456.43,92,Dolnośląskie
62031214261,Tomasz,Zieliński,3796.23,164,Kujawsko-Pomorskie
48030597424,Agnieszka,Sikora,2554.3,134,Świętokrzyskie
77030568440,Piotr,Kamiński,3393.6,217,Pomorskie
56070436533,Piotr,Woźniak,3629.25,229,Lubelskie
68041713664,Piotr,Wiśniewski,4994.47,108,Małopolskie
60100168949,Maria,Zieliński,1974.14,126,Małopolskie
99080418032,Tomasz,Zieliński,4739.95,124,Opolskie
61052065342,Maria,Sikora,1142.63,192,Pomorskie
90052148513,Katarzyna,Lewandowski,1116.12,100,Zachodniopomorskie
04301561161,Maria,Szymański,2427.81,96,Lubuskie
66090790902,Tomasz,Sikora,2586.0,142,Podkarpackie
67102512691,Maria,Dąbrowski,4756.55,279,Opolskie
55011047979,Piotr,Wiśniewski,1295.48,260,Śląskie
32071876727,Maria,Wiśniewski,3310.62,287,Łódzkie
47121952221,Piotr,Lewandowski,4652.81,72,Pomorskie
94120154109,Jan,Kowalski,3098.19,230,Dolnośląskie
30070718301,Zofia,Kamiński,2999.76,227,Mazowieckie
78100955685,Piotr,Szymański,1478.71,116,Kujawsko-Pomorskie
72080284137,Agnieszka,Szymański,2002.91,209,Śląskie
46071564438,Krzysztof,Zieliński,3837.7,168,Świętokrzyskie
41091233540,Piotr,Kowalski,4775.06,83,Łódzkie
93011270755,Tomasz,Wiśniewski,2551.76,200,Kujawsko-Pomorskie
84071425302,Anna,Kowalski,4850.57,108,Zachodniopomorskie
54042744284,Jan,Zieliński,2685.71,237,Opolskie
43071933824,Agnieszka,Wiśniewski,1514.11,231,Mazowieckie
79020736163,Agnieszka,Lewandowski,2182.05,258,Zachodniopomorskie
63090833262,Agnieszka,Woźniak,2058.28,250,Dolnośląskie
03250417055,Katarzyna,Dąbrowski,2033.28,106,Podkarpackie
64082063788,Anna,Szymański,2809.26,188,Świętokrzyskie
72052541336,Anna,Zieliński,3669.37,106,Śląskie
36102447540,Zofia,Lewandowski,3293.33,279,Mazowieckie
95012867846,Agnieszka,Nowak,3538.58,273,Podkarpackie
42031621391,Anna,Kowalski,4544.79,208,Pomorskie
88040872261,Krzysztof,Lewandowski,1491.04,286,Lubelskie
94071616655,Maria,Kamiński,1999.15,115,Wielkopolskie
59011945183,Maria,Szymański,4496.67,125,Wielkopolskie
84110829012,Krzysztof,Dąbrowski,3930.66,112,Zachodniopomorskie
91121558802,Michał,Sikora,2944.0,213,Dolnośląskie
86071724740,Zofia,Zieliński,2376.66,134,Łódzkie
65031775174,Michał,Lewandowski,4024.31,149,Dolnośląskie
70070544674,Krzysztof,Kowalski,1684.69,91,Śląskie
97120168923,Anna,Wiśniewski,3905.41,299,Zachodniopomorskie
45060611188,Katarzyna,Sikora,1885.58,286,Mazowieckie
57031262277,Michał,Nowak,3348.07,267,Zachodniopomorskie
86080381732,Katarzyna,Kowalski,4421.22,124,Mazowieckie
06210180345,Michał,Kamiński,2038.37,111,Wielkopolskie
36052786995,Katarzyna,Woźniak,2737.78,204,Śląskie
58110116391,Zofia,Woźniak,4368.37,279,Wielkopolskie
69090935713,Jan,Kamiński,4994.76,93,Łódzkie
44011121640,Jan,Szymański,2119.6,255,Mazowieckie
85010728506,Jan,Sikora,3277.5,277,Wielkopolskie
80052183573,Jan,Sikora,4954.59,119,Podlaskie
76061689630,Agnieszka,Sikora,4824.37,259,Śląskie
53052287950,Piotr,Sikora,4994.96,288,Kujawsko-Pomorskie
58090410759,Piotr,Wiśniewski,2091.03,289,Lubuskie
54071833601,Katarzyna,Woźniak,3225.52,64,Małopolskie
55021130434,Agnieszka,Szymański,4218.29,262,Pomorskie
80041682423,Zofia,Dąbrowski,4129.64,81,Lubelskie
99022582340,Michał,Lewandowski,2425.42,238,Warmińsko-Mazurskie
35070992285,Zofia,Dąbrowski,2111.63,70,Wielkopolskie
93011619563,Anna,Dąbrowski,4515.55,183,Łódzkie
94071551082,Zofia,Szymański,2144.81,78,Warmińsko-Mazurskie
66102044584,Michał,Sikora,3271.53,165,Podlaskie
31072120835,Anna,Kowalski,2609.44,138,Kujawsko-Pomorskie
34022824308,Agnieszka,Lewandowski,4303.51,159,Małopolskie
95080445900,Katarzyna,Nowak,3074.77,240,Warmińsko-Mazurskie
73090616547,Tomasz,Wiśniewski,1986.74,71,Podlaskie
91021275641,Agnieszka,Woźniak,4609.64,159,Kujawsko-Pomorskie
81090238429,Jan,Lewandowski,4130.41,160,Kujawsko-Pomorskie
41112629859,Agnieszka,Dąbrowski,3218.55,136,Opolskie
37062021786,Jan,Lewandowski,1497.8,93,Podlaskie
41112767634,Jan,Dąbrowski,3243.88,210,Podlaskie
71102714427,Zofia,Kowalski,4789.86,61,Kujawsko-Pomorskie
03320419880,Tomasz,Kowalski,4635.18,105,Pomorskie
64032116573,Anna,Szymański,3772.4,92,Śląskie
67020226292,Tomasz,Szymański,3078.56,56,Warmińsko-Mazurskie
72020714487,Katarzyna,Dąbrowski,4101.46,247,Wielkopolskie
74040549780,Maria,Dąbrowski,1607.54,99,Małopolskie
76040987157,Piotr,Kowalski,2886.51,125,Łódzkie
30051521911,Anna,Woźniak,4466.54,275,Lubuskie
38111162140,Anna,Nowak,3037.28,246,Wielkopolskie
86111370726,Zofia,Kowalski,4565.84,90,Opolskie
57102422070,Tomasz,Szymański,1204.87,96,Opolskie
00292259278,Jan,Sikora,2013.79,134,Mazowieckie
35121830872,Zofia,Nowak,1180.31,164,Świętokrzyskie
59051644123,Agnieszka,Wiśniewski,2454.07,275,Pomorskie
81021414074,Zofia,Sikora,4047.89,52,Warmińsko-Mazurskie
51060559489,Jan,Wiśniewski,2412.63,80,Małopolskie
40100533303,Tomasz,Szymański,4520.02,276,Małopolskie
60051952510,Katarzyna,Szymański,1650.37,258,Podlaskie
31070589832,Tomasz,Dąbrowski,1040.77,162,Świętokrzyskie
80090436912,Maria,Dąbrowski,4124.16,252,Lubuskie
48081865862,Zofia,Nowak,1929.55,90,Śląskie
68060560634,Piotr,Kowalski,2329.52,152,Małopolskie
44060323956,Zofia,Woźniak,4405.0,269,Małopolskie
85050271824,Zofia,Dąbrowski,3449.31,261,Małopolskie
04241387474,Jan,Zieliński,3672.44,275,Świętokrzyskie
69091545663,Zofia,Woźniak,3573.58,168,Zachodniopomorskie
52112683888,Anna,Lewandowski,2645.7,240,Lubuskie
06221913619,Michał,Zieliński,3421.28,212,Kujawsko-Pomorskie
03270794387,Michał,Szymański,4611.87,106,Pomorskie
74061576442,Jan,Szymański,2213.17,297,Małopolskie
90070231088,Tomasz,Woźniak,3450.91,257,Dolnośląskie
97112626914,Jan,Szymański,1061.12,237,Pomorskie
62011513238,Michał,Nowak,4046.44,175,Śląskie
77082340964,Maria,Wiśniewski,4081.04,272,Mazowieckie
45112237010,Maria,Kamiński,4797.64,240,Kujawsko-Pomorskie
85120958510,Michał,Szymański,2054.72,104,Świętokrzyskie
54100556231,Michał,Sikora,2310.98,149,Małopolskie
93080919654,Agnieszka,Sikora,3288.65,141,Warmińsko-Mazurskie
62101579982,Tomasz,Szymański,3576.86,248,Małopolskie
79052644199,Zofia,Sikora,2680.74,215,Wielkopolskie
60082462275,Krzysztof,Sikora,3702.36,259,Małopolskie
73011931076,Piotr,Zieliński,2111.23,150,Małopolskie
49110213584,Jan,Kowalski,4912.14,198,Śląskie
71122694334,Tomasz,Dąbrowski,1404.18,59,Warmińsko-Mazurskie
61101682643,Piotr,Woźniak,3744.01,125,Lubuskie
59060356648,Maria,Sikora,3852.69,116,Podkarpackie
35031767787,Agnieszka,Kamiński,3321.88,210,Podlaskie
67072594813,Maria,Dąbrowski,2631.35,174,Łódzkie
77010986150,Zofia,Kowalski,2208.14,169,Pomorskie
60061841701,Agnieszka,Woźniak,4838.23,145,Wielkopolskie
71022315689,Zofia,Sikora,3286.71,281,Dolnośląskie
02250735121,Jan,Woźniak,4025.57,181,Podlaskie
29112447604,Piotr,Kamiński,2006.51,230,Podlaskie
02211630612,Agnieszka,Kowalski,3469.77,70,Podlaskie
03292172127,Krzysztof,Zieliński,2750.64,272,Kujawsko-Pomorskie
